tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Fabaceae,CYP_induction,11,19.79905437352246,125,134,846,0.4691199543574383,0.48673160900235135,-1.0388016266811069,0.017096538373510023,0.3282535367713924,ns
family,Polygonaceae,P-gp_induction,2,0.22458628841607564,38,5,846,14.907407407407407,15.76320939334638,3.97848939265631,0.018041763378499963,0.3299065303497136,ns
family,Theaceae,CYP_induction,0,3.801418439716312,24,134,846,0.0,0.10446855322054473,-3.2588593625368683,0.02252863426198544,0.36287932804583606,ns
family,Celastraceae,CYP_induction,0,3.9598108747044916,25,134,846,0.0,0.10022596399154457,-3.3186718012287355,0.022769365796907155,0.36287932804583606,ns
family,Menispermaceae,receptor_antagonism,2,0.24822695035460993,14,15,846,10.5,12.14074074074074,3.601784542048628,0.02362495625298412,0.36287932804583606,ns
family,Paeoniaceae,receptor_antagonism,2,0.24822695035460993,14,15,846,10.5,12.14074074074074,3.601784542048628,0.02362495625298412,0.36287932804583606,ns
family,Lamiaceae,CYP_induction,8,15.364066193853429,97,134,846,0.4444444444444444,0.4681034292401793,-1.0951007608785572,0.026913834527558328,0.39749663302239996,ns
family,Ginkgoaceae,protein_binding_displacement,1,0.02955082742316785,25,1,846,inf,100.59183673469387,6.652369421556022,0.029550827423167846,0.4202784344628316,ns
family,Apiaceae,CYP_inhibition,20,13.375886524822695,46,246,846,1.9537100068073519,1.9621391978008247,0.9724273926547626,0.03071297403430051,0.42074128221589524,ns
family,Araliaceae,UGT_inhibition,7,3.1773049645390072,64,42,846,2.6210526315789475,2.7464788732394365,1.4575831942449287,0.03285229149588838,0.42074128221589524,ns
family,Paeoniaceae,transporter_modulation,3,0.7446808510638298,14,45,846,5.12987012987013,5.660869565217391,2.5010236822212604,0.03391228015899599,0.42074128221589524,ns
family,Theaceae,transporter_modulation,4,1.2765957446808511,24,45,846,3.8097560975609754,4.133705553923009,2.0474356284769684,0.03396609309555405,0.42074128221589524,ns
family,Polygonaceae,CYP_induction,11,6.0189125295508275,38,134,846,2.268894911171334,2.321163047478837,1.2148478667269016,0.03716981211971138,0.4460377454365366,ns
family,Amaryllidaceae,CYP_inhibition,0,2.9078014184397163,10,246,846,0.0,0.1140732154930938,-3.1319680097595146,0.039927116262759334,0.45807141019342673,ns
family,Ranunculaceae,UGT_inhibition,0,3.475177304964539,70,42,846,0.0,0.12256987901543596,-3.0283236079802154,0.04167326742997435,0.45807141019342673,ns
family,Hypericaceae,P-gp_inhibition,0,3.486997635933806,59,50,846,0.0,0.12272235626924037,-3.0265300069231724,0.04214545625151088,0.45807141019342673,ns
family,Fabaceae,UGT_inhibition,11,6.205673758865248,125,42,846,2.1477079796264857,2.201635821723158,1.1385758487182034,0.04294419470563376,0.45807141019342673,ns
family,Araliaceae,synergistic_efficacy,9,4.84160756501182,64,64,846,2.1629752066115704,2.24373021670319,1.1658992185390198,0.04942613136584226,0.5129630930941467,ns
family,Schisandraceae,receptor_synergism,2,6.453900709219858,52,105,846,0.2683495145631068,0.33075046635098293,-1.5961849042132634,0.05139184339160946,0.5193281016415272,ns
family,Amaryllidaceae,P-gp_induction,1,0.0591016548463357,10,5,846,23.11111111111111,29.210526315789473,4.868416447793883,0.057854568575595504,0.5637799654290373,ns
family,Fabaceae,UGT_induction,2,0.4432624113475177,125,3,846,11.707317073170731,9.723346828609987,3.281452982756276,0.05872707973219139,0.5637799654290373,ns
family,Fabaceae,signaling_pathway_modulation,8,4.432624113475177,125,30,846,2.1724941724941726,2.248983451536643,1.1692730455204183,0.06893607501290562,0.6231177727072098,ns
family,Rutaceae,UGT_induction,1,0.07092198581560284,20,3,846,21.68421052631579,25.369230769230768,4.6650078704090125,0.06933862697469868,0.6231177727072098,ns
family,Lamiaceae,receptor_synergism,18,12.039007092198581,97,105,846,1.7337407245744216,1.7619047619047619,0.8171359428501894,0.06977620892294277,0.6231177727072098,ns
family,Ginkgoaceae,CYP_inhibition,3,7.2695035460992905,25,246,846,0.32435465768799104,0.36956422541638145,-1.4361029872469229,0.07184093081503193,0.6235771507536487,ns
